label,source_value,paper_value,tolerance,status
tab:panel s3_unseen_language unixcoder,0.5588,0.5588,0.0006,ok
tab:panel s4_unseen_domain reference,0.4029,0.4029,0.0006,ok
tab:panel s4_unseen_domain codebert,0.3227,0.3227,0.0006,ok
tab:panel s4_unseen_domain unixcoder,0.388,0.388,0.0006,ok
tab:panel s5_compound reference,0.2378,0.2378,0.0006,ok
tab:panel s5_compound codebert,0.2093,0.2093,0.0006,ok
tab:panel s5_compound unixcoder,0.2558,0.2558,0.0006,ok
tab:zeroshot s1_in_distribution zeroshot,0.6586130240272949,0.6586,0.0006,ok
tab:zeroshot s1_in_distribution unexposed,0.997663804598844,0.9977,0.0006,ok
tab:zeroshot s1_in_distribution exposed,0.9979373399748541,0.9979,0.0006,ok
tab:zeroshot s2_unseen_generator zeroshot,0.552489666207387,0.5525,0.0006,ok
tab:zeroshot s2_unseen_generator unexposed,0.9984622768934284,0.9985,0.0006,ok
tab:zeroshot s2_unseen_generator exposed,0.9988017065331443,0.9988,0.0006,ok
tab:zeroshot s3_unseen_language zeroshot,0.7009506390179824,0.701,0.0006,ok
tab:zeroshot s3_unseen_language unexposed,0.9114144121350167,0.9114,0.0006,ok
tab:zeroshot s3_unseen_language exposed,0.9937999670681307,0.9938,0.0006,ok
tab:zeroshot s4_unseen_domain zeroshot,0.6273338255997216,0.6273,0.0006,ok
tab:zeroshot s4_unseen_domain unexposed,0.8306972493837064,0.8307,0.0006,ok
tab:zeroshot s4_unseen_domain exposed,0.9973045995668752,0.9973,0.0006,ok
tab:zeroshot s5_compound zeroshot,0.6615552982167718,0.6616,0.0006,ok
tab:zeroshot s5_compound unexposed,0.7659890232974909,0.766,0.0006,ok
tab:zeroshot s5_compound exposed,0.9900509169776948,0.9901,0.0006,ok
tab:ablation triplet0 s1_in_distribution,0.895261819360067,0.8953,0.0006,ok
tab:ablation triplet0 s2_unseen_generator,0.8685682000660834,0.8686,0.0006,ok
tab:ablation triplet0 s3_unseen_language,0.5904127035560787,0.5904,0.0006,ok
tab:ablation triplet0 s4_unseen_domain,0.3903249733229065,0.3903,0.0006,ok
tab:ablation triplet0 s5_compound,0.2620638173597795,0.2621,0.0006,ok
tab:ablation triplet0 drop,0.6331980020002874,0.6332,0.0006,ok
tab:ablation triplet02 s1_in_distribution,0.8933,0.8933,0.0006,ok
tab:ablation triplet02 s2_unseen_generator,0.8678,0.8678,0.0006,ok
tab:ablation triplet02 s3_unseen_language,0.5544,0.5544,0.0006,ok
tab:ablation triplet02 s4_unseen_domain,0.4091,0.4091,0.0006,ok
tab:ablation triplet02 s5_compound,0.2672,0.2672,0.0006,ok
tab:ablation triplet02 drop,0.626,0.626,0.0006,ok
tab:ablation proj256 s1_in_distribution,0.8962,0.8962,0.0006,ok
tab:ablation proj256 s2_unseen_generator,0.8678,0.8678,0.0006,ok
tab:ablation proj256 s3_unseen_language,0.581,0.581,0.0006,ok
tab:ablation proj256 s4_unseen_domain,0.4092,0.4092,0.0006,ok
tab:ablation proj256 s5_compound,0.2756,0.2756,0.0006,ok
tab:ablation proj256 drop,0.6206,0.6206,0.0006,ok
tab:ablation large s1_in_distribution,0.9031950068837095,0.9032,0.0006,ok
tab:ablation large s2_unseen_generator,0.8749371672371998,0.8749,0.0006,ok
tab:ablation large s3_unseen_language,0.6679360134627865,0.6679,0.0006,ok
tab:ablation large s4_unseen_domain,0.3970461194340964,0.397,0.0006,ok
tab:ablation large s5_compound,0.2957029671063495,0.2957,0.0006,ok
tab:ablation large drop,0.60749203977736,0.6075,0.0006,ok
tab:seeds paper (seed 20260818) s1_in_distribution,0.8977,0.8977,0.0006,ok
tab:seeds paper (seed 20260818) s2_unseen_generator,0.8685,0.8685,0.0006,ok
tab:seeds paper (seed 20260818) s3_unseen_language,0.5667,0.5667,0.0006,ok
tab:seeds paper (seed 20260818) s4_unseen_domain,0.4029,0.4029,0.0006,ok
tab:seeds paper (seed 20260818) s5_compound,0.2378,0.2378,0.0006,ok
tab:seeds seed1 s1_in_distribution,0.8976,0.8976,0.0006,ok
